Report Date,ZIP Code,Number of Cases,Number of Testing Encounters,Number of PCR Testing Encounters
05/15/2020,22302,141,,
05/15/2020,22303,101,,
05/15/2020,22304,409,,
05/15/2020,22305,398,,
05/15/2020,22306,452,,
05/15/2020,22307,43,,
05/15/2020,22308,29,,
05/15/2020,22309,355,,
05/15/2020,22310,178,,
05/15/2020,22311,255,,
05/15/2020,22312,285,,
05/15/2020,22314,134,,
05/15/2020,22315,65,,
05/15/2020,22401,77,,
05/15/2020,22405,62,,
05/15/2020,22406,50,,
05/15/2020,22407,173,,
05/15/2020,22408,57,,
05/15/2020,22427,Suppressed*,,
05/15/2020,22432,Suppressed*,,
05/15/2020,22433,Suppressed*,,
05/15/2020,22435,Suppressed*,,
05/15/2020,22436,0,,
05/15/2020,22437,Suppressed*,,
05/15/2020,22438,Suppressed*,,
05/15/2020,22443,11,,
05/15/2020,22448,Suppressed*,,
05/15/2020,22454,Suppressed*,,
05/15/2020,22460,Suppressed*,,
05/15/2020,22469,Suppressed*,,
05/15/2020,22473,7,,
05/15/2020,22476,Suppressed*,,
05/15/2020,22480,0,,
05/15/2020,22482,Suppressed*,,
05/15/2020,22485,44,,
05/15/2020,22488,Suppressed*,,
05/15/2020,22503,Suppressed*,,
05/15/2020,22504,0,,
05/15/2020,22508,21,,
05/15/2020,22511,Suppressed*,,
05/15/2020,22514,Suppressed*,,
05/15/2020,22520,27,,
05/15/2020,22529,0,,
05/15/2020,22530,0,,
05/15/2020,22534,0,,
05/15/2020,22535,0,,
05/15/2020,22538,0,,
05/15/2020,22539,Suppressed*,,
05/15/2020,22542,Suppressed*,,
05/15/2020,22546,25,,
05/15/2020,22548,0,,
05/15/2020,22551,50,,
05/15/2020,22553,15,,
05/15/2020,22554,213,,
05/15/2020,22556,109,,
05/15/2020,22560,25,,
05/15/2020,22567,Suppressed*,,
05/15/2020,22572,189,,
05/15/2020,22576,0,,
05/15/2020,22578,0,,
05/15/2020,22579,Suppressed*,,
05/15/2020,22580,6,,
05/15/2020,22601,84,,
05/15/2020,22602,80,,
05/15/2020,22603,33,,
05/15/2020,22610,7,,
05/15/2020,22611,10,,
05/15/2020,22620,Suppressed*,,
05/15/2020,22623,Suppressed*,,
05/15/2020,22624,Suppressed*,,
05/15/2020,22625,Suppressed*,,
05/15/2020,22627,0,,
05/15/2020,22630,70,,
05/15/2020,22637,Suppressed*,,
05/15/2020,22639,0,,
05/15/2020,22640,Suppressed*,,
05/15/2020,22641,0,,
05/15/2020,22642,15,,
05/15/2020,22643,0,,
05/15/2020,22644,37,,
05/15/2020,22645,14,,
05/15/2020,22646,0,,
05/15/2020,22650,Suppressed*,,
05/15/2020,22652,Suppressed*,,
05/15/2020,22654,Suppressed*,,
05/15/2020,22655,48,,
05/15/2020,22656,Suppressed*,,
05/15/2020,22657,26,,
05/15/2020,22660,5,,
05/15/2020,22663,Suppressed*,,
05/15/2020,22664,85,,
05/15/2020,22701,292,,
05/15/2020,22709,0,,
05/15/2020,22711,0,,
05/15/2020,22712,51,,
05/15/2020,22713,5,,
05/15/2020,22714,5,,
05/15/2020,22715,Suppressed*,,
05/15/2020,22716,Suppressed*,,
05/15/2020,22718,Suppressed*,,
05/15/2020,22719,0,,
05/15/2020,22720,0,,
05/15/2020,22723,0,,
05/15/2020,22724,6,,
05/15/2020,22726,Suppressed*,,
05/15/2020,22727,14,,
05/15/2020,22728,Suppressed*,,
05/15/2020,22729,0,,
05/15/2020,22730,0,,
05/15/2020,22731,0,,
05/15/2020,22732,Suppressed*,,
05/15/2020,22733,6,,
05/15/2020,22734,16,,
05/15/2020,22735,Suppressed*,,
05/15/2020,22736,Suppressed*,,
05/15/2020,22737,Suppressed*,,
05/15/2020,22738,Suppressed*,,
05/15/2020,22740,Suppressed*,,
05/15/2020,22741,0,,
05/15/2020,22742,7,,
05/15/2020,22743,0,,
05/15/2020,22747,0,,
05/15/2020,22749,0,,
05/15/2020,22801,438,,
05/15/2020,22802,363,,
05/15/2020,22807,Suppressed*,,
05/15/2020,22810,Suppressed*,,
05/15/2020,22811,Suppressed*,,
05/15/2020,22812,13,,
05/15/2020,22815,51,,
05/15/2020,22820,0,,
05/15/2020,22821,15,,
05/15/2020,22824,44,,
05/15/2020,22827,33,,
05/15/2020,22830,13,,
05/15/2020,22831,Suppressed*,,
05/15/2020,22832,Suppressed*,,
05/15/2020,22834,0,,
05/15/2020,22835,86,,
05/15/2020,22840,Suppressed*,,
05/15/2020,22841,8,,
05/15/2020,22842,47,,
05/15/2020,22843,Suppressed*,,
05/15/2020,22844,27,,
05/15/2020,22845,0,,
05/15/2020,22846,6,,
05/15/2020,22847,Suppressed*,,
05/15/2020,22849,11,,
05/15/2020,22850,5,,
05/15/2020,22851,43,,
05/15/2020,22853,36,,
05/15/2020,22901,87,,
05/15/2020,22902,28,,
05/15/2020,22903,42,,
05/15/2020,22904,0,,
05/15/2020,22911,15,,
05/15/2020,22920,Suppressed*,,
05/15/2020,22922,Suppressed*,,
05/15/2020,22923,5,,
05/15/2020,22931,0,,
05/15/2020,22932,12,,
05/15/2020,22935,Suppressed*,,
05/15/2020,22936,Suppressed*,,
05/15/2020,22937,Suppressed*,,
05/15/2020,22938,Suppressed*,,
05/15/2020,22939,Suppressed*,,
05/15/2020,22940,Suppressed*,,
05/15/2020,22942,6,,
05/15/2020,22943,0,,
05/15/2020,22946,Suppressed*,,
05/15/2020,22947,Suppressed*,,
05/15/2020,22948,0,,
05/15/2020,22949,0,,
05/15/2020,22952,0,,
05/15/2020,22958,Suppressed*,,
05/15/2020,22959,Suppressed*,,
05/15/2020,22960,17,,
05/15/2020,22963,24,,
05/15/2020,22964,0,,
05/15/2020,22967,Suppressed*,,
05/15/2020,22968,7,,
05/15/2020,22969,Suppressed*,,
05/15/2020,22971,0,,
05/15/2020,22972,Suppressed*,,
05/15/2020,22973,5,,
05/15/2020,22974,5,,
05/15/2020,22976,0,,
05/15/2020,22980,30,,
05/15/2020,22989,0,,
05/15/2020,23002,16,,
05/15/2020,23004,9,,
05/15/2020,23005,26,,
05/15/2020,23009,11,,
05/15/2020,23011,Suppressed*,,
05/15/2020,23015,9,,
05/15/2020,23021,0,,
05/15/2020,23022,5,,
05/15/2020,23023,Suppressed*,,
05/15/2020,23024,19,,
05/15/2020,23025,0,,
05/15/2020,23027,Suppressed*,,
05/15/2020,23030,15,,
05/15/2020,23032,0,,
05/15/2020,23035,Suppressed*,,
05/15/2020,23038,6,,
05/15/2020,23039,Suppressed*,,
05/15/2020,23040,8,,
05/15/2020,23043,Suppressed*,,
05/15/2020,23045,0,,
05/15/2020,23047,0,,
05/15/2020,23050,Suppressed*,,
05/15/2020,23055,36,,
05/15/2020,23056,0,,
05/15/2020,23059,39,,
05/15/2020,23060,79,,
05/15/2020,23061,16,,
05/15/2020,23062,Suppressed*,,
05/15/2020,23063,53,,
05/15/2020,23064,0,,
05/15/2020,23065,Suppressed*,,
05/15/2020,23066,0,,
05/15/2020,23068,0,,
05/15/2020,23069,Suppressed*,,
05/15/2020,23070,0,,
05/15/2020,23071,Suppressed*,,
05/15/2020,23072,7,,
05/15/2020,23075,107,,
05/15/2020,23076,0,,
05/15/2020,23079,0,,
05/15/2020,23083,Suppressed*,,
05/15/2020,23084,5,,
05/15/2020,23085,Suppressed*,,
05/15/2020,23086,Suppressed*,,
05/15/2020,23089,8,,
05/15/2020,23091,0,,
05/15/2020,23092,0,,
05/15/2020,23093,25,,
05/15/2020,23102,7,,
05/15/2020,23103,14,,
05/15/2020,23106,0,,
05/15/2020,23109,Suppressed*,,
05/15/2020,23110,0,,
05/15/2020,23111,64,,
05/15/2020,23112,89,,
05/15/2020,23113,62,,
05/15/2020,23114,33,,
05/15/2020,23115,0,,
05/15/2020,23116,88,,
05/15/2020,23117,9,,
05/15/2020,23119,Suppressed*,,
05/15/2020,23120,21,,
05/15/2020,23123,16,,
05/15/2020,23124,6,,
05/15/2020,23126,0,,
05/15/2020,23128,Suppressed*,,
05/15/2020,23129,0,,
05/15/2020,23130,Suppressed*,,
05/15/2020,23138,0,,
05/15/2020,23139,23,,
05/15/2020,23140,13,,
05/15/2020,23141,9,,
05/15/2020,23146,6,,
05/15/2020,23148,Suppressed*,,
05/15/2020,23149,Suppressed*,,
05/15/2020,23150,37,,
05/15/2020,23153,Suppressed*,,
05/15/2020,23156,Suppressed*,,
05/15/2020,23160,0,,
05/15/2020,23161,0,,
05/15/2020,23163,0,,
05/15/2020,23168,8,,
05/15/2020,23169,0,,
05/15/2020,23173,0,,
05/15/2020,23175,Suppressed*,,
05/15/2020,23176,0,,
05/15/2020,23177,0,,
05/15/2020,23180,0,,
05/15/2020,23181,Suppressed*,,
05/15/2020,23185,122,,
05/15/2020,23187,0,,
05/15/2020,23188,123,,
05/15/2020,23192,10,,
05/15/2020,23219,13,,
05/15/2020,23220,56,,
05/15/2020,23221,17,,
05/15/2020,23222,71,,
05/15/2020,23223,200,,
05/15/2020,23224,236,,
05/15/2020,23225,155,,
05/15/2020,23226,81,,
05/15/2020,23227,55,,
05/15/2020,23228,99,,
05/15/2020,23229,73,,
05/15/2020,23230,10,,
05/15/2020,23231,98,,
05/15/2020,23233,103,,
05/15/2020,23234,248,,
05/15/2020,23235,93,,
05/15/2020,23236,55,,
05/15/2020,23237,84,,
05/15/2020,23238,214,,
05/15/2020,23250,0,,
05/15/2020,23294,45,,
05/15/2020,23301,53,,
05/15/2020,23302,Suppressed*,,
05/15/2020,23303,13,,
05/15/2020,23304,Suppressed*,,
05/15/2020,23306,17,,
05/15/2020,23307,11,,
05/15/2020,23308,35,,
05/15/2020,23310,17,,
05/15/2020,23313,Suppressed*,,
05/15/2020,23314,9,,
05/15/2020,23315,Suppressed*,,
05/15/2020,23316,11,,
05/15/2020,23320,133,,
05/15/2020,23321,46,,
05/15/2020,23322,72,,
05/15/2020,23323,55,,
05/15/2020,23324,35,,
05/15/2020,23325,36,,
05/15/2020,23336,8,,
05/15/2020,23337,0,,
05/15/2020,23347,13,,
05/15/2020,23350,50,,
05/15/2020,23354,9,,
05/15/2020,23356,Suppressed*,,
05/15/2020,23357,29,,
05/15/2020,23359,10,,
05/15/2020,23389,Suppressed*,,
05/15/2020,23395,14,,
05/15/2020,23398,Suppressed*,,
05/15/2020,23401,Suppressed*,,
05/15/2020,23405,10,,
05/15/2020,23407,40,,
05/15/2020,23408,Suppressed*,,
05/15/2020,23409,Suppressed*,,
05/15/2020,23410,45,,
05/15/2020,23413,69,,
05/15/2020,23414,21,,
05/15/2020,23415,30,,
05/15/2020,23416,10,,
05/15/2020,23417,43,,
05/15/2020,23418,39,,
05/15/2020,23420,59,,
05/15/2020,23421,107,,
05/15/2020,23422,Suppressed*,,
05/15/2020,23423,Suppressed*,,
05/15/2020,23426,5,,
05/15/2020,23427,5,,
05/15/2020,23430,28,,
05/15/2020,23432,Suppressed*,,
05/15/2020,23433,0,,
05/15/2020,23434,147,,
05/15/2020,23435,96,,
05/15/2020,23436,0,,
05/15/2020,23437,6,,
05/15/2020,23438,Suppressed*,,
05/15/2020,23440,0,,
05/15/2020,23441,17,,
05/15/2020,23442,16,,
05/15/2020,23451,43,,
05/15/2020,23452,75,,
05/15/2020,23453,49,,
05/15/2020,23454,80,,
05/15/2020,23455,37,,
05/15/2020,23456,57,,
05/15/2020,23457,Suppressed*,,
05/15/2020,23459,Suppressed*,,
05/15/2020,23460,0,,
05/15/2020,23461,0,,
05/15/2020,23462,113,,
05/15/2020,23464,75,,
05/15/2020,23480,Suppressed*,,
05/15/2020,23486,0,,
05/15/2020,23487,58,,
05/15/2020,23488,8,,
05/15/2020,23502,39,,
05/15/2020,23503,35,,
05/15/2020,23504,52,,
05/15/2020,23505,33,,
05/15/2020,23507,8,,
05/15/2020,23508,24,,
05/15/2020,23509,29,,
05/15/2020,23510,47,,
05/15/2020,23511,0,,
05/15/2020,23513,28,,
05/15/2020,23517,5,,
05/15/2020,23518,37,,
05/15/2020,23523,8,,
05/15/2020,23551,0,,
05/15/2020,23601,20,,
05/15/2020,23602,42,,
05/15/2020,23603,Suppressed*,,
05/15/2020,23604,0,,
05/15/2020,23605,13,,
05/15/2020,23606,26,,
05/15/2020,23607,21,,
05/15/2020,23608,56,,
05/15/2020,23651,Suppressed*,,
05/15/2020,23661,15,,
05/15/2020,23662,7,,
05/15/2020,23663,10,,
05/15/2020,23664,7,,
05/15/2020,23665,Suppressed*,,
05/15/2020,23666,67,,
05/15/2020,23669,52,,
05/15/2020,23690,0,,
05/15/2020,23691,0,,
05/15/2020,23692,12,,
05/15/2020,23693,12,,
05/15/2020,23696,0,,
05/15/2020,23701,106,,
05/15/2020,23702,14,,
05/15/2020,23703,47,,
05/15/2020,23704,30,,
05/15/2020,23707,20,,
05/15/2020,23708,Suppressed*,,
05/15/2020,23709,0,,
05/15/2020,23801,10,,
05/15/2020,23803,73,,
05/15/2020,23805,26,,
05/15/2020,23821,Suppressed*,,
05/15/2020,23824,9,,
05/15/2020,23827,Suppressed*,,
05/15/2020,23828,0,,
05/15/2020,23829,78,,
05/15/2020,23830,Suppressed*,,
05/15/2020,23831,64,,
05/15/2020,23832,136,,
05/15/2020,23833,Suppressed*,,
05/15/2020,23834,97,,
05/15/2020,23836,21,,
05/15/2020,23837,47,,
05/15/2020,23838,26,,
05/15/2020,23839,0,,
05/15/2020,23840,Suppressed*,,
05/15/2020,23841,7,,
05/15/2020,23842,7,,
05/15/2020,23843,0,,
05/15/2020,23844,Suppressed*,,
05/15/2020,23845,0,,
05/15/2020,23846,0,,
05/15/2020,23847,77,,
05/15/2020,23850,0,,
05/15/2020,23851,28,,
05/15/2020,23856,Suppressed*,,
05/15/2020,23857,Suppressed*,,
05/15/2020,23860,57,,
05/15/2020,23866,Suppressed*,,
05/15/2020,23867,18,,
05/15/2020,23868,12,,
05/15/2020,23872,Suppressed*,,
05/15/2020,23874,0,,
05/15/2020,23875,20,,
05/15/2020,23876,0,,
05/15/2020,23878,Suppressed*,,
05/15/2020,23879,5,,
05/15/2020,23881,Suppressed*,,
05/15/2020,23882,5,,
05/15/2020,23883,Suppressed*,,
05/15/2020,23884,Suppressed*,,
05/15/2020,23885,Suppressed*,,
05/15/2020,23887,0,,
05/15/2020,23888,Suppressed*,,
05/15/2020,23889,Suppressed*,,
05/15/2020,23890,11,,
05/15/2020,23891,49,,
05/15/2020,23893,Suppressed*,,
05/15/2020,23894,0,,
05/15/2020,23897,Suppressed*,,
05/15/2020,23898,5,,
05/15/2020,23899,Suppressed*,,
05/15/2020,23901,62,,
05/15/2020,23915,Suppressed*,,
05/15/2020,23917,10,,
05/15/2020,23919,5,,
05/15/2020,23920,Suppressed*,,
05/15/2020,23921,7,,
05/15/2020,23922,6,,
05/15/2020,23923,5,,
05/15/2020,23924,41,,
05/15/2020,23927,59,,
05/15/2020,23930,Suppressed*,,
05/15/2020,23934,Suppressed*,,
05/15/2020,23936,330,,
05/15/2020,23937,Suppressed*,,
05/15/2020,23938,0,,
05/15/2020,23942,Suppressed*,,
05/15/2020,23944,Suppressed*,,
05/15/2020,23947,Suppressed*,,
05/15/2020,23950,8,,
05/15/2020,23952,0,,
05/15/2020,23954,Suppressed*,,
05/15/2020,23958,9,,
05/15/2020,23959,0,,
05/15/2020,23960,Suppressed*,,
05/15/2020,23962,Suppressed*,,
05/15/2020,23963,0,,
05/15/2020,23964,0,,
05/15/2020,23966,Suppressed*,,
05/15/2020,23967,0,,
05/15/2020,23968,Suppressed*,,
05/15/2020,23970,13,,
05/15/2020,23974,Suppressed*,,
05/15/2020,23976,0,,
05/15/2020,24011,0,,
05/15/2020,24012,39,,
05/15/2020,24013,5,,
05/15/2020,24014,53,,
05/15/2020,24015,12,,
05/15/2020,24016,Suppressed*,,
05/15/2020,24017,14,,
05/15/2020,24018,34,,
05/15/2020,24019,10,,
05/15/2020,24053,Suppressed*,,
05/15/2020,24054,Suppressed*,,
05/15/2020,24055,Suppressed*,,
05/15/2020,24058,0,,
05/15/2020,24059,0,,
05/15/2020,24060,33,,
05/15/2020,24064,0,,
05/15/2020,24065,Suppressed*,,
05/15/2020,24066,Suppressed*,,
05/15/2020,24067,Suppressed*,,
05/15/2020,24069,0,,
05/15/2020,24070,0,,
05/15/2020,24072,0,,
05/15/2020,24073,19,,
05/15/2020,24076,0,,
05/15/2020,24077,Suppressed*,,
05/15/2020,24078,6,,
05/15/2020,24079,0,,
05/15/2020,24082,0,,
05/15/2020,24083,6,,
05/15/2020,24084,7,,
05/15/2020,24085,7,,
05/15/2020,24087,6,,
05/15/2020,24088,0,,
05/15/2020,24089,Suppressed*,,
05/15/2020,24090,9,,
05/15/2020,24091,Suppressed*,,
05/15/2020,24092,Suppressed*,,
05/15/2020,24093,0,,
05/15/2020,24095,Suppressed*,,
05/15/2020,24101,Suppressed*,,
05/15/2020,24102,0,,
05/15/2020,24104,Suppressed*,,
05/15/2020,24105,0,,
05/15/2020,24112,15,,
05/15/2020,24120,0,,
05/15/2020,24121,Suppressed*,,
05/15/2020,24122,Suppressed*,,
05/15/2020,24124,Suppressed*,,
05/15/2020,24127,Suppressed*,,
05/15/2020,24128,Suppressed*,,
05/15/2020,24131,0,,
05/15/2020,24132,0,,
05/15/2020,24133,0,,
05/15/2020,24134,0,,
05/15/2020,24136,0,,
05/15/2020,24137,Suppressed*,,
05/15/2020,24138,0,,
05/15/2020,24139,0,,
05/15/2020,24141,Suppressed*,,
05/15/2020,24142,0,,
05/15/2020,24147,Suppressed*,,
05/15/2020,24148,5,,
05/15/2020,24149,0,,
05/15/2020,24150,Suppressed*,,
05/15/2020,24151,13,,
05/15/2020,24153,54,,
05/15/2020,24161,0,,
05/15/2020,24162,6,,
05/15/2020,24165,Suppressed*,,
05/15/2020,24167,0,,
05/15/2020,24168,Suppressed*,,
05/15/2020,24171,5,,
05/15/2020,24174,Suppressed*,,
05/15/2020,24175,Suppressed*,,
05/15/2020,24176,Suppressed*,,
05/15/2020,24179,13,,
05/15/2020,24184,6,,
05/15/2020,24185,0,,
05/15/2020,24201,Suppressed*,,
05/15/2020,24202,7,,
05/15/2020,24210,19,,
05/15/2020,24211,9,,
05/15/2020,24216,10,,
05/15/2020,24217,0,,
05/15/2020,24219,9,,
05/15/2020,24220,0,,
05/15/2020,24221,0,,
05/15/2020,24224,5,,
05/15/2020,24225,0,,
05/15/2020,24226,0,,
05/15/2020,24228,0,,
05/15/2020,24230,0,,
05/15/2020,24236,5,,
05/15/2020,24237,0,,
05/15/2020,24239,0,,
05/15/2020,24243,0,,
05/15/2020,24244,Suppressed*,,
05/15/2020,24245,0,,
05/15/2020,24246,0,,
05/15/2020,24248,Suppressed*,,
05/15/2020,24250,0,,
05/15/2020,24251,Suppressed*,,
05/15/2020,24256,0,,
05/15/2020,24258,0,,
05/15/2020,24260,0,,
05/15/2020,24263,Suppressed*,,
05/15/2020,24265,0,,
05/15/2020,24266,Suppressed*,,
05/15/2020,24269,0,,
05/15/2020,24270,Suppressed*,,
05/15/2020,24271,0,,
05/15/2020,24272,0,,
05/15/2020,24273,Suppressed*,,
05/15/2020,24277,Suppressed*,,
05/15/2020,24279,0,,
05/15/2020,24280,0,,
05/15/2020,24281,0,,
05/15/2020,24282,0,,
05/15/2020,24283,0,,
05/15/2020,24290,0,,
05/15/2020,24292,0,,
05/15/2020,24293,Suppressed*,,
05/15/2020,24301,Suppressed*,,
05/15/2020,24311,0,,
05/15/2020,24312,0,,
05/15/2020,24313,Suppressed*,,
05/15/2020,24314,0,,
05/15/2020,24315,0,,
05/15/2020,24316,0,,
05/15/2020,24317,Suppressed*,,
05/15/2020,24318,0,,
05/15/2020,24319,5,,
05/15/2020,24322,0,,
05/15/2020,24323,Suppressed*,,
05/15/2020,24324,0,,
05/15/2020,24325,0,,
05/15/2020,24326,0,,
05/15/2020,24328,0,,
05/15/2020,24330,8,,
05/15/2020,24333,100,,
05/15/2020,24340,Suppressed*,,
05/15/2020,24343,10,,
05/15/2020,24347,0,,
05/15/2020,24348,0,,
05/15/2020,24350,0,,
05/15/2020,24351,0,,
05/15/2020,24352,Suppressed*,,
05/15/2020,24354,6,,
05/15/2020,24360,5,,
05/15/2020,24361,Suppressed*,,
05/15/2020,24363,0,,
05/15/2020,24366,Suppressed*,,
05/15/2020,24368,Suppressed*,,
05/15/2020,24370,Suppressed*,,
05/15/2020,24374,0,,
05/15/2020,24375,0,,
05/15/2020,24377,0,,
05/15/2020,24378,Suppressed*,,
05/15/2020,24380,Suppressed*,,
05/15/2020,24381,Suppressed*,,
05/15/2020,24382,5,,
05/15/2020,24401,39,,
05/15/2020,24412,0,,
05/15/2020,24413,0,,
05/15/2020,24415,0,,
05/15/2020,24416,9,,
05/15/2020,24421,Suppressed*,,
05/15/2020,24422,6,,
05/15/2020,24426,Suppressed*,,
05/15/2020,24430,0,,
05/15/2020,24431,5,,
05/15/2020,24432,Suppressed*,,
05/15/2020,24433,0,,
05/15/2020,24435,Suppressed*,,
05/15/2020,24437,0,,
05/15/2020,24439,0,,
05/15/2020,24440,8,,
05/15/2020,24441,15,,
05/15/2020,24442,0,,
05/15/2020,24445,0,,
05/15/2020,24448,0,,
05/15/2020,24450,8,,
05/15/2020,24457,0,,
05/15/2020,24458,0,,
05/15/2020,24459,Suppressed*,,
05/15/2020,24460,0,,
05/15/2020,24465,Suppressed*,,
05/15/2020,24467,Suppressed*,,
05/15/2020,24471,Suppressed*,,
05/15/2020,24472,0,,
05/15/2020,24473,0,,
05/15/2020,24474,0,,
05/15/2020,24476,0,,
05/15/2020,24477,13,,
05/15/2020,24479,0,,
05/15/2020,24482,5,,
05/15/2020,24483,Suppressed*,,
05/15/2020,24484,0,,
05/15/2020,24485,0,,
05/15/2020,24486,14,,
05/15/2020,24487,0,,
05/15/2020,24501,24,,
05/15/2020,24502,32,,
05/15/2020,24503,12,,
05/15/2020,24504,7,,
05/15/2020,24517,0,,
05/15/2020,24520,Suppressed*,,
05/15/2020,24521,5,,
05/15/2020,24522,15,,
05/15/2020,24523,7,,
05/15/2020,24526,Suppressed*,,
05/15/2020,24527,Suppressed*,,
05/15/2020,24528,Suppressed*,,
05/15/2020,24529,Suppressed*,,
05/15/2020,24530,0,,
05/15/2020,24531,Suppressed*,,
05/15/2020,24534,Suppressed*,,
05/15/2020,24536,0,,
05/15/2020,24538,Suppressed*,,
05/15/2020,24539,0,,
05/15/2020,24540,20,,
05/15/2020,24541,24,,
05/15/2020,24549,Suppressed*,,
05/15/2020,24550,5,,
05/15/2020,24551,19,,
05/15/2020,24553,Suppressed*,,
05/15/2020,24554,Suppressed*,,
05/15/2020,24555,0,,
05/15/2020,24556,0,,
05/15/2020,24557,Suppressed*,,
05/15/2020,24558,5,,
05/15/2020,24562,0,,
05/15/2020,24563,Suppressed*,,
05/15/2020,24565,0,,
05/15/2020,24566,Suppressed*,,
05/15/2020,24569,0,,
05/15/2020,24571,Suppressed*,,
05/15/2020,24572,12,,
05/15/2020,24574,Suppressed*,,
05/15/2020,24577,Suppressed*,,
05/15/2020,24578,Suppressed*,,
05/15/2020,24579,0,,
05/15/2020,24580,Suppressed*,,
05/15/2020,24586,Suppressed*,,
05/15/2020,24588,Suppressed*,,
05/15/2020,24589,0,,
05/15/2020,24590,11,,
05/15/2020,24592,11,,
05/15/2020,24593,Suppressed*,,
05/15/2020,24594,Suppressed*,,
05/15/2020,24595,0,,
05/15/2020,24597,Suppressed*,,
05/15/2020,24598,Suppressed*,,
05/15/2020,24599,Suppressed*,,
05/15/2020,24602,0,,
05/15/2020,24603,Suppressed*,,
05/15/2020,24605,Suppressed*,,
05/15/2020,24606,0,,
05/15/2020,24607,0,,
05/15/2020,24609,Suppressed*,,
05/15/2020,24612,0,,
05/15/2020,24613,0,,
05/15/2020,24614,15,,
05/15/2020,24620,0,,
05/15/2020,24622,0,,
05/15/2020,24628,0,,
05/15/2020,24630,0,,
05/15/2020,24631,0,,
05/15/2020,24634,0,,
05/15/2020,24635,0,,
05/15/2020,24637,0,,
05/15/2020,24639,Suppressed*,,
05/15/2020,24641,0,,
05/15/2020,24646,0,,
05/15/2020,24649,0,,
05/15/2020,24651,0,,
05/15/2020,24656,0,,
05/15/2020,24657,0,,
05/15/2020,Not Reported,582,,
05/15/2020,Out-of-State,0,,
05/16/2020,20105,64,,
05/16/2020,20106,26,,
05/16/2020,20109,576,,
05/16/2020,20110,647,,
05/16/2020,20111,443,,
05/16/2020,20112,108,,
05/16/2020,20115,20,,
05/16/2020,20117,7,,
05/16/2020,20118,Suppressed*,,
05/16/2020,20119,14,,
05/16/2020,20120,148,,
05/16/2020,20121,101,,
05/16/2020,20124,34,,
05/16/2020,20129,7,,
05/16/2020,20130,0,,
05/16/2020,20132,26,,
05/16/2020,20135,5,,
05/16/2020,20136,85,,
05/16/2020,20137,Suppressed*,,
05/16/2020,20139,Suppressed*,,
05/16/2020,20141,7,,
05/16/2020,20143,0,,
05/16/2020,20144,Suppressed*,,
05/16/2020,20147,203,,
05/16/2020,20148,84,,
