Date,Neighborhood,Total Positives
5/12/20,N14: CONGRESS HEIGHTS/SHIPLEY,145
5/12/20,N46: TWINING,135
5/12/20,N40: SHEPHERD PARK,127
5/12/20,N26: HISTORIC ANACOSTIA,127
5/12/20,N17: EASTLAND GARDENS,125
5/12/20,N41: SOUTH COLUMBIA HEIGHTS,123
5/12/20,N18: EDGEWOOD,121
5/12/20,N47: U ST/PLEASANT,120
5/12/20,N43: SW/WATERFRONT,115
5/12/20,N44: TENLEYTOWN,114
5/12/20,N4: BELLEVUE,113
5/12/20,N16: DOUGLASS,112
5/12/20,N6: BRENTWOOD,107
5/12/20,N2: ADAMS MORGAN,105
5/12/20,N48: UNION STATION,99
5/12/20,N5: BLOOMINGDALE,91
5/12/20,Unknown,83
5/12/20,N27: KENT/PALISADES,80
5/12/20,N28: KINGMAN PARK,78
5/12/20,N23: GEORGETOWN EAST,68
5/12/20,N24: GWU,64
5/12/20,N51: WOODRIDGE,61
5/12/20,N10: CATHEDRAL HEIGHTS,56
5/12/20,N49: WASHINGTON HIGHLANDS,50
5/12/20,N25: HILL EAST,47
5/12/20,N50: WOODLEY PARK,46
5/12/20,N9: CAPITOL HILL,38
5/12/20,N19: FOREST HILLS,36
5/12/20,N11: CHEVY CHASE,35
5/12/20,N3: BARNABY WOODS,30
5/12/20,N15: DC MEDICAL CENTER,16
5/12/20,N22: GEORGETOWN,14
5/12/20,N36: NAVAL STATION & AIR FORCE,1
5/13/20,N13: COLUMBIA HEIGHTS,380
5/13/20,N1: 16th ST HEIGHTS,364
5/13/20,N7: BRIGHTWOOD,322
5/13/20,N12: CHINATOWN,263
5/13/20,N45: TRINIDAD,222
5/13/20,N37: NAYLOR/HILLCREST,222
5/13/20,N31: LOGAN CIRCLE/SHAW,219
5/13/20,N8: BRIGHTWOOD PARK,217
5/13/20,N38: PETWORTH,204
5/13/20,N30: LINCOLN HEIGHTS,199
5/13/20,N34: MOUNT PLEASANT,197
5/13/20,N33: MICHIGAN PARK,186
5/13/20,N21: FORT LINCOLN/GATEWAY,186
5/13/20,N42: STADIUM ARMORY,181
5/13/20,N32: MARSHALL HEIGHTS,162
5/13/20,N20: FORT DUPONT,154
5/13/20,N39: SAINT ELIZABETHS,152
5/13/20,N29: LAMOND RIGGS,150
5/13/20,N14: CONGRESS HEIGHTS/SHIPLEY,148
5/13/20,N46: TWINING,143
5/13/20,N40: SHEPHERD PARK,134
5/13/20,N26: HISTORIC ANACOSTIA,129
5/13/20,N17: EASTLAND GARDENS,127
5/13/20,N18: EDGEWOOD,126
5/13/20,N41: SOUTH COLUMBIA HEIGHTS,124
5/13/20,N47: U ST/PLEASANT,121
5/13/20,N43: SW/WATERFRONT,120
5/13/20,N44: TENLEYTOWN,116
5/13/20,N2: ADAMS MORGAN,114
5/13/20,N4: BELLEVUE,113
5/13/20,N16: DOUGLASS,113
5/13/20,N6: BRENTWOOD,108
5/13/20,N48: UNION STATION,101
5/13/20,Unknown,95
5/13/20,N5: BLOOMINGDALE,93
5/13/20,N28: KINGMAN PARK,80
5/13/20,N27: KENT/PALISADES,80
5/13/20,N23: GEORGETOWN EAST,68
5/13/20,N24: GWU,63
5/13/20,N51: WOODRIDGE,62
5/13/20,N10: CATHEDRAL HEIGHTS,58
5/13/20,N49: WASHINGTON HIGHLANDS,51
5/13/20,N25: HILL EAST,47
5/13/20,N50: WOODLEY PARK,46
5/13/20,N9: CAPITOL HILL,38
5/13/20,N11: CHEVY CHASE,37
5/13/20,N19: FOREST HILLS,36
5/13/20,N3: BARNABY WOODS,30
5/13/20,N15: DC MEDICAL CENTER,18
5/13/20,N22: GEORGETOWN,15
5/13/20,N36: NAVAL STATION & AIR FORCE,1
5/13/20,N35: NATIONAL MALL,1
5/14/20,N13: COLUMBIA HEIGHTS,391
5/14/20,N1: 16th ST HEIGHTS,371
5/14/20,N7: BRIGHTWOOD,333
5/14/20,N12: CHINATOWN,267
5/14/20,N37: NAYLOR/HILLCREST,251
5/14/20,N31: LOGAN CIRCLE/SHAW,226
