Date,Neighborhood,Confirmed,ZIP_CODE
2020-06-28,N44: TENLEYTOWN,137,20016.0
2020-06-28,N5: BLOOMINGDALE,136,20001.0
2020-06-28,N23: GEORGETOWN EAST,122,20007.0
2020-06-28,N28: KINGMAN PARK,118,20002.0
2020-06-28,N27: KENT/PALISADES,111,20016.0
2020-06-28,N51: WOODRIDGE,90,20018.0
2020-06-28,N25: HILL EAST,89,20003.0
2020-06-28,N49: WASHINGTON HIGHLANDS,85,20032.0
2020-06-28,N10: CATHEDRAL HEIGHTS,71,20016.0
2020-06-28,N9: CAPITOL HILL,63,20002.0
2020-06-28,N50: WOODLEY PARK,62,20008.0
2020-06-28,N19: FOREST HILLS,62,20008.0
2020-06-28,N24: GWU,59,20052.0
2020-06-28,N11: CHEVY CHASE,51,20015.0
2020-06-28,N3: BARNABY WOODS,39,20015.0
2020-06-28,N15: DC MEDICAL CENTER,22,20422.0
2020-06-28,N22: GEORGETOWN,21,20007.0
2020-06-28,N36: NAVAL STATION & AIR FORCE,4,20373.0
2020-06-28,N35: NATIONAL MALL,1,20004.0
2020-06-29,N13: COLUMBIA HEIGHTS,685,20010.0
2020-06-29,N1: 16th ST HEIGHTS,621,20011.0
2020-06-29,N7: BRIGHTWOOD,479,20011.0
2020-06-29,N12: CHINATOWN,364,20001.0
2020-06-29,N37: NAYLOR/HILLCREST,354,20020.0
2020-06-29,N38: PETWORTH,352,20011.0
2020-06-29,N8: BRIGHTWOOD PARK,342,20011.0
2020-06-29,N30: LINCOLN HEIGHTS,311,20019.0
2020-06-29,N45: TRINIDAD,308,20002.0
2020-06-29,N31: LOGAN CIRCLE/SHAW,305,20005.0
2020-06-29,N33: MICHIGAN PARK,304,20017.0
2020-06-29,N34: MOUNT PLEASANT,289,20010.0
2020-06-29,N32: MARSHALL HEIGHTS,265,20019.0
2020-06-29,N14: CONGRESS HEIGHTS/SHIPLEY,256,20032.0
2020-06-29,N21: FORT LINCOLN/GATEWAY,245,20018.0
2020-06-29,N20: FORT DUPONT,241,20019.0
2020-06-29,N29: LAMOND RIGGS,219,20011.0
2020-06-29,N46: TWINING,218,20020.0
2020-06-29,N39: SAINT ELIZABETHS,213,20032.0
2020-06-29,N42: STADIUM ARMORY,212,20009.0
2020-06-29,N26: HISTORIC ANACOSTIA,211,20373.0
2020-06-29,N4: BELLEVUE,202,20043.0
2020-06-29,N17: EASTLAND GARDENS,202,20019.0
2020-06-29,N18: EDGEWOOD,201,20002.0
2020-06-29,N47: U ST/PLEASANT,192,20001.0
2020-06-29,N43: SW/WATERFRONT,191,20024.0
2020-06-29,N41: SOUTH COLUMBIA HEIGHTS,183,20009.0
2020-06-29,N16: DOUGLASS,183,20020.0
2020-06-29,N40: SHEPHERD PARK,173,20012.0
2020-06-29,N2: ADAMS MORGAN,166,20009.0
2020-06-29,N6: BRENTWOOD,165,20018.0
2020-06-29,N48: UNION STATION,156,20002.0
2020-06-29,N5: BLOOMINGDALE,138,20001.0
2020-06-29,N44: TENLEYTOWN,137,20016.0
2020-06-29,N23: GEORGETOWN EAST,123,20007.0
2020-06-29,N28: KINGMAN PARK,120,20002.0
2020-06-29,N27: KENT/PALISADES,112,20016.0
2020-06-29,N51: WOODRIDGE,90,20018.0
2020-06-29,N25: HILL EAST,89,20003.0
