,YEAR,CENSUS TRACT,COUNTY NAME,POPULATION,POVERTY RATE,RENTER OCCUPIED HOUSEHOLDS,PCT RENTER OCCUPIED,MEDIAN GROSS RENT,MEDIAN HOUSEHOLD INCOME,MEDIAN PROPERTY VALUE,RENT BURDEN,PCT WHITE,PCT AF AM,PCT HISPANIC,PCT AM IND,PCT ASIAN,PCT NH PI,PCT MULTIPLE,PCT OTHER,LOW FLAG,IMPUTED,SYMBOL
63,2000.0,44.0,"WASHINGTON,DC",2589.0,20.32,629.0,54.98,742.0,42500.0,174700.0,26.1,24.49,58.01,12.55,0.27,1.93,0.0,2.36,0.39,0.0,0.0,dc
64,2000.0,46.0,"WASHINGTON,DC",2997.0,24.16,587.0,54.3,553.0,33142.0,124500.0,29.6,2.54,89.69,4.8,0.47,1.3,0.03,1.07,0.1,0.0,0.0,dc
65,2000.0,47.01,"WASHINGTON,DC",3420.0,36.83,1289.0,93.1,249.0,14107.0,108800.0,22.9,2.72,91.74,1.12,0.32,2.6,0.02,1.3,0.18,0.0,0.0,dc
66,2000.0,47.02,"WASHINGTON,DC",962.0,36.83,331.0,93.1,249.0,14107.0,108800.0,22.9,2.72,91.74,1.12,0.32,2.6,0.02,1.3,0.18,0.0,0.0,dc
67,2000.0,48.01,"WASHINGTON,DC",1876.0,29.94,522.0,60.77,555.0,24388.0,124500.0,29.4,8.58,76.07,9.38,0.32,3.94,0.0,1.71,0.0,0.0,0.0,dc
68,2000.0,48.02,"WASHINGTON,DC",2853.0,21.03,982.0,85.1,529.0,27559.0,162500.0,24.4,5.22,75.53,6.1,0.21,11.67,0.0,1.05,0.21,0.0,0.0,dc
69,2000.0,49.01,"WASHINGTON,DC",2013.0,35.32,593.0,70.76,347.0,18950.0,166100.0,27.9,11.67,77.94,5.22,0.7,2.83,0.0,1.54,0.1,0.0,0.0,dc
70,2000.0,49.02,"WASHINGTON,DC",2286.0,18.63,906.0,89.88,583.0,30647.0,168800.0,23.5,10.76,58.66,26.68,0.17,2.27,0.0,1.09,0.35,0.0,0.0,dc
71,2000.0,50.01,"WASHINGTON,DC",1685.0,27.34,455.0,77.12,609.0,33257.0,348500.0,26.4,26.02,36.21,29.47,0.15,5.39,0.01,2.39,0.36,0.0,0.0,dc
72,2000.0,50.02,"WASHINGTON,DC",5593.0,27.34,2332.0,77.12,609.0,33257.0,348500.0,26.4,26.02,36.21,29.47,0.15,5.39,0.01,2.39,0.36,0.0,0.0,dc
